growth_rate_per_hr,measured_R_P_ratio,estim_ribosomal_fraction_scott,estim_ribosomal_fraction_dai,translation_elong_rate_aa_s,fraction_active_rib_equivalent,estim_useless_fraction,nutrient_type,cm_type,useless_type,media_details,cm_uM,model_k,model_fRI,model_fU,model_fE,model_fR,model_fQ,model_active_rib_frac,model_growth_rate
0.83,NaN,NaN,NaN,NaN,NaN,0.028,20,0,1,to add,NaN,2.98497880864992,0,0.0359779245561035,0.278059102094948,0.185962973348949,0.5,1,0.830000527305645
0.83,NaN,NaN,NaN,NaN,NaN,0.045,20,0,1,to add,NaN,2.98497880864992,0,0.0359779245561035,0.278059102094948,0.185962973348949,0.5,1,0.830000527305645
0.42,NaN,NaN,NaN,NaN,NaN,0.165,20,0,1,to add,NaN,2.98497880864992,0,0.246348740578286,0.140699859253654,0.11295140016806,0.5,1,0.419986098252184
0.48,NaN,NaN,NaN,NaN,NaN,0.186,20,0,1,to add,NaN,2.98497880864992,0,0.215062652003989,0.160803946322893,0.124133401673118,0.5,1,0.479996372121116
0.33,NaN,NaN,NaN,NaN,NaN,0.196,20,0,1,to add,NaN,2.98497880864992,0,0.293835383880976,0.110556840912483,0.0956077752065413,0.5,1,0.330009827275043
0.26,NaN,NaN,NaN,NaN,NaN,0.265,20,0,1,to add,NaN,2.98497880864992,0,0.331469011314791,0.0870962635515284,0.0814347251336809,0.5,1,0.259980501013901
0.21,NaN,NaN,NaN,NaN,NaN,0.318,20,0,1,to add,NaN,2.98497880864992,0,0.358856808713003,0.070354955645005,0.0707882356419918,0.5,1,0.209996594756814
0.6106,NaN,NaN,NaN,NaN,NaN,0,21,0,0,to add,NaN,1.7336260979767,0,0,0.35221666842914,0.14778333157086,0.5,1,0.610612008531162
0.63,NaN,NaN,NaN,NaN,NaN,0.008,21,0,1,to add,NaN,1.7336260979767,0,0,0.35221666842914,0.14778333157086,0.5,1,0.610612008531162
0.57,NaN,NaN,NaN,NaN,NaN,0.009,21,0,1,to add,NaN,1.7336260979767,0,0.0306800479257707,0.328787023735293,0.140532928338936,0.5,1,0.569993765023588
0.59,NaN,NaN,NaN,NaN,NaN,0.037,21,0,1,to add,NaN,1.7336260979767,0,0.0155666175742914,0.340322349850056,0.144111032575652,0.5,1,0.589991707424814
0.53,NaN,NaN,NaN,NaN,NaN,0.073,21,0,1,to add,NaN,1.7336260979767,0,0.0610200565257718,0.305706085828346,0.133273857645882,0.5,1,0.529980048702326
0.39,NaN,NaN,NaN,NaN,NaN,0.098,21,0,1,to add,NaN,1.7336260979767,0,0.167767273729468,0.224962776332467,0.107269949938065,0.5,1,0.390001340123259
0.42,NaN,NaN,NaN,NaN,NaN,0.16,21,0,1,to add,NaN,1.7336260979767,0,0.144763185028598,0.24226696898201,0.112969845989392,0.5,1,0.420000340104924
0.26,NaN,NaN,NaN,NaN,NaN,0.15,21,0,1,to add,NaN,1.7336260979767,0,0.268556100917887,0.149984617066911,0.0814592820152018,0.5,1,0.260017246442238
0.28,NaN,NaN,NaN,NaN,NaN,0.228,21,0,1,to add,NaN,1.7336260979767,0,0.252903028413458,0.161518828351946,0.0855781432345967,0.5,1,0.280013256145552
0.25,NaN,NaN,NaN,NaN,NaN,0.24,21,0,1,to add,NaN,1.7336260979767,0,0.276410365909964,0.144216325390213,0.0793733086998225,0.5,1,0.250017185450774
